gene	Endothelial.cells	Alveolar.Luminal	Basal.Myoepithelial	Pericytes	Fibroblasts	Prolif.Fibroblasts	Luminal.progenitor	Luminal.mature
Rasa1	0.8771500972688177	0.059427593755848516	0.6318693679511255	0.803565252431554	0.6242687081078268	0.5726026398435763	0.5605171499873124	0.7789798588598726
Cox7c	1.0864960094066836	1.0494403457861425	1.345783554796327	1.1428295852241734	0.9119268871183206	1.1203307186448326	1.6659358560494588	1.6657425555995768
Gm34585	0	0	0	0	0	0	0	0
Edil3	0	0	0.014917693734609022	0	0.05275534898540472	0.05956781877434314	0.00040988453991661387	0
Hapln1	0	0	0	0	0.000949119424688046	0	0	0
Vcan	0.03478764863504519	0.004035013060600685	0.5158654197832292	0.07759473520627716	1.6405732534612445	1.7720706733083815	0.07505905964779735	0.027636540858592396
Gm4117	0.009750689689673712	0.0022945948353760345	0.07704632035022178	0.030339913712985524	0.13091535785885572	0.025189983001846033	0.023527031918224226	0.02997967940443699
Xrcc4	0.4812714535452217	0.021590741229582038	0.3716461445728995	0.3371565479343596	0.24899484354490384	0.22376280610974592	0.2865810734022203	0.38147218228355834
Tmem167	0.5962965767558608	0.32555768027358395	0.5196308805878007	0.638447767180102	0.9643954430209556	1.049493104417064	0.7647010120685883	0.7089261490731171
Gm29680	0	0	0.02376774474218958	0	0.001551550693069057	0	0.007168301512586878	0.0019135706647908422
Gm47520	0	0.000376166329259059	0	0	0	0	0	0
Atp6ap1l	0	0	0	0	0.005668253868494481	0	0	0
Rps23	1.8051321178279673	0.9927755750035197	2.040588363890084	1.9203320597571392	2.229222579577339	2.0348046439930996	2.010227522909472	2.540866616086181
Atg10	0.33789057344647644	0.06340333428038197	0.6099320445056284	0.3897752537755329	0.5354478018793074	0.2601898762305407	0.36737578773199725	0.5761909958362773
Gm47381	0.002015992741391423	0	0	0	0	0	0	0
A830009L08Rik	0	0	0.06257969214470631	0	0.0007018696756562124	0	0	0
Gm29540	0	0	0	0	0	0	0	0
